Entity,Year,February,September
Arctic Ocean,1979,16.175,7.051
Arctic Ocean,1980,15.955,7.667
Arctic Ocean,1981,15.604,7.138
Arctic Ocean,1982,15.974,7.302
Arctic Ocean,1983,16.006,7.395
Arctic Ocean,1984,15.299,6.805
Arctic Ocean,1985,15.466,6.698
Arctic Ocean,1986,15.785,7.411
Arctic Ocean,1987,16.05,7.279
Arctic Ocean,1988,15.583,7.369
Arctic Ocean,1989,15.495,7.008
Arctic Ocean,1990,15.578,6.143
Arctic Ocean,1991,15.249,6.473
Arctic Ocean,1992,15.462,7.474
Arctic Ocean,1993,15.686,6.397
Arctic Ocean,1994,15.562,7.138
Arctic Ocean,1995,15.226,6.08
Arctic Ocean,1996,15.155,7.583
Arctic Ocean,1997,15.437,6.686
Arctic Ocean,1998,15.746,6.536
Arctic Ocean,1999,15.309,6.117
Arctic Ocean,2000,15.141,6.246
Arctic Ocean,2001,15.211,6.732
Arctic Ocean,2002,15.342,5.827
Arctic Ocean,2003,15.193,6.116
Arctic Ocean,2004,14.914,5.984
Arctic Ocean,2005,14.373,5.504
Arctic Ocean,2006,14.325,5.862
Arctic Ocean,2007,14.513,4.267
Arctic Ocean,2008,14.953,4.687
Arctic Ocean,2009,14.812,5.262
Arctic Ocean,2010,14.581,4.865
Arctic Ocean,2011,14.363,4.561
Arctic Ocean,2012,14.553,3.566
Arctic Ocean,2013,14.723,5.208
Arctic Ocean,2014,14.418,5.22
Arctic Ocean,2015,14.401,4.616
Arctic Ocean,2016,14.203,4.528
Arctic Ocean,2017,14.12,4.822
Arctic Ocean,2018,13.967,4.785
Arctic Ocean,2019,14.394,4.364
Arctic Ocean,2020,14.642,4.001
Arctic Ocean,2021,14.39,4.952
Arctic Ocean,2022,14.612,4.897
Arctic Ocean,2023,14.189,4.381
Arctic Ocean,2024,14.607,4.351
Arctic Ocean,2025,13.745,4.747